epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,204.094,0.87275,0.58649,1.05223,0.99198,0.9995,0.99465,0.774,0.83353,0.44583,0.98849,0.00073025,0.00073025,0.00073025
44,208.745,0.80986,0.55527,1.00379,0.99086,1,0.99495,0.75995,0.84764,0.43905,0.99422,0.000717875,0.000717875,0.000717875
45,213.266,0.88236,0.56148,1.04495,0.99304,0.9875,0.99472,0.78288,0.81338,0.43295,0.98681,0.0007055,0.0007055,0.0007055
46,217.914,0.82734,0.54623,1.03459,0.99325,0.99507,0.99421,0.79203,0.77771,0.42453,0.96912,0.000693125,0.000693125,0.000693125
47,222.521,0.8746,0.56448,1.05696,0.99318,1,0.9946,0.78244,0.8102,0.41253,0.98498,0.00068075,0.00068075,0.00068075
48,227.586,0.82684,0.53712,1.03648,0.9943,1,0.99396,0.77354,0.80713,0.40764,0.98071,0.000668375,0.000668375,0.000668375
49,232.221,0.7973,0.52575,1.02228,0.99433,1,0.99455,0.79154,0.76999,0.40128,0.96386,0.000656,0.000656,0.000656
50,236.954,0.84009,0.54551,1.04413,0.9895,0.995,0.98872,0.78647,0.79316,0.40448,0.98026,0.000643625,0.000643625,0.000643625
51,241.914,0.81064,0.51432,1.02286,0.99428,1,0.99446,0.80071,0.76546,0.39235,0.96409,0.00063125,0.00063125,0.00063125
52,246.655,0.81918,0.51009,1.02106,0.99356,1,0.99347,0.79704,0.79095,0.40023,0.9722,0.000618875,0.000618875,0.000618875
53,251.606,0.80059,0.49708,1.01509,0.99429,1,0.99233,0.79238,0.77908,0.39074,0.97289,0.0006065,0.0006065,0.0006065
54,256.447,0.8334,0.50488,1.0542,0.99399,1,0.99287,0.78732,0.80315,0.39511,0.9888,0.000594125,0.000594125,0.000594125
55,260.994,0.78985,0.48655,1.02498,0.99433,1,0.99287,0.80657,0.76097,0.38731,0.96622,0.00058175,0.00058175,0.00058175
56,265.624,0.80382,0.49055,1.02609,0.99162,1,0.99139,0.80913,0.77076,0.39125,0.96215,0.000569375,0.000569375,0.000569375
57,270.299,0.75822,0.47827,0.99997,0.99336,1,0.99218,0.80832,0.78171,0.39335,0.96022,0.000557,0.000557,0.000557
58,274.922,0.83224,0.50164,1.03912,0.99206,0.99982,0.99292,0.79245,0.78162,0.39658,0.96998,0.000544625,0.000544625,0.000544625
59,279.801,0.77452,0.48733,1.00212,0.99269,1,0.99441,0.79519,0.7779,0.39167,0.96693,0.00053225,0.00053225,0.00053225
60,284.6,0.83134,0.49561,1.03964,0.99443,1,0.99426,0.81984,0.72512,0.37601,0.95778,0.000519875,0.000519875,0.000519875
61,289.285,0.78762,0.48163,1.014,0.99407,1,0.99416,0.81095,0.77667,0.3841,0.97373,0.0005075,0.0005075,0.0005075
