epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,365.273,1.51162,0.99066,1.29524,0.94294,0.95455,0.97304,0.60335,1.34341,0.7925,1.2579,0.00091175,0.00091175,0.00091175
43,373.738,1.40842,0.96795,1.27622,0.95315,0.94621,0.97225,0.58815,1.37371,0.77941,1.26928,0.0009035,0.0009035,0.0009035
44,382.329,1.33573,0.90203,1.21372,0.93274,0.96368,0.97959,0.57528,1.41485,0.80399,1.29193,0.00089525,0.00089525,0.00089525
45,390.758,1.35563,0.92426,1.21701,0.94505,0.9471,0.97686,0.59689,1.38008,0.75176,1.23269,0.000887,0.000887,0.000887
46,399.284,1.42054,0.92649,1.25059,0.95569,0.94533,0.97491,0.58414,1.38113,0.77599,1.26044,0.00087875,0.00087875,0.00087875
47,407.792,1.37584,0.91819,1.24062,0.94647,0.93523,0.98005,0.61773,1.28915,0.75239,1.21568,0.0008705,0.0008705,0.0008705
48,416.212,1.3862,0.89795,1.26054,0.96827,0.97073,0.98268,0.61303,1.32216,0.74354,1.23477,0.00086225,0.00086225,0.00086225
49,424.683,1.35219,0.87571,1.21671,0.95867,0.96136,0.96789,0.62219,1.29014,0.73012,1.21853,0.000854,0.000854,0.000854
50,433.213,1.39396,0.88456,1.27391,0.9738,0.97058,0.98383,0.62655,1.31385,0.70074,1.24252,0.00084575,0.00084575,0.00084575
51,441.773,1.46205,0.88207,1.29235,0.96804,0.96421,0.98329,0.63327,1.28625,0.7333,1.23835,0.0008375,0.0008375,0.0008375
52,450.538,1.35321,0.87372,1.25908,0.95907,0.97465,0.98447,0.62272,1.28285,0.72694,1.22848,0.00082925,0.00082925,0.00082925
53,459.541,1.35276,0.88103,1.24623,0.96519,0.94636,0.97899,0.60027,1.37888,0.72908,1.26301,0.000821,0.000821,0.000821
54,468.444,1.31377,0.81056,1.21861,0.97818,0.95126,0.98564,0.64349,1.24464,0.70458,1.19934,0.00081275,0.00081275,0.00081275
55,476.817,1.31853,0.8623,1.20928,0.9621,0.95932,0.97965,0.63124,1.29409,0.7271,1.18535,0.0008045,0.0008045,0.0008045
56,485.311,1.31611,0.83382,1.21655,0.94855,0.94798,0.9723,0.59473,1.35062,0.7596,1.25423,0.00079625,0.00079625,0.00079625
57,493.635,1.30296,0.84105,1.20153,0.93792,0.94116,0.97577,0.64117,1.23607,0.70195,1.19667,0.000788,0.000788,0.000788
58,502.211,1.31473,0.83378,1.21141,0.9569,0.93297,0.98082,0.62666,1.30681,0.69019,1.22668,0.00077975,0.00077975,0.00077975
59,510.703,1.37852,0.80717,1.22523,0.96217,0.95949,0.98303,0.6326,1.30606,0.6958,1.22897,0.0007715,0.0007715,0.0007715
60,519.401,1.28954,0.82945,1.19456,0.9494,0.96553,0.98343,0.65391,1.23272,0.68554,1.17821,0.00076325,0.00076325,0.00076325
61,528.339,1.27872,0.78,1.19482,0.96266,0.9798,0.98805,0.67005,1.19069,0.64359,1.178,0.000755,0.000755,0.000755
62,537.118,1.25178,0.75584,1.16859,0.97462,0.96471,0.98545,0.63641,1.25122,0.67455,1.21474,0.00074675,0.00074675,0.00074675
63,545.594,1.31205,0.77328,1.19448,0.9722,0.9572,0.98138,0.62506,1.30205,0.71322,1.2311,0.0007385,0.0007385,0.0007385
64,554.116,1.26745,0.79703,1.18454,0.9485,0.95237,0.9803,0.59179,1.37486,0.76365,1.28782,0.00073025,0.00073025,0.00073025
65,562.673,1.25778,0.7782,1.18252,0.96538,0.96225,0.98305,0.63227,1.24892,0.70269,1.20444,0.000722,0.000722,0.000722
66,571.195,1.30605,0.79825,1.21922,0.96161,0.96285,0.98521,0.64034,1.24177,0.69141,1.19261,0.00071375,0.00071375,0.00071375
67,579.449,1.34049,0.79447,1.21187,0.96958,0.95455,0.9829,0.64775,1.19871,0.67404,1.20068,0.0007055,0.0007055,0.0007055
68,587.971,1.29075,0.79694,1.20302,0.97511,0.98068,0.98918,0.65155,1.20514,0.6637,1.18331,0.00069725,0.00069725,0.00069725
69,596.305,1.25964,0.74557,1.19618,0.96531,0.9507,0.98474,0.67247,1.16438,0.63043,1.15806,0.000689,0.000689,0.000689
70,604.764,1.28613,0.75366,1.20639,0.96934,0.98297,0.98417,0.6817,1.1312,0.63186,1.14282,0.00068075,0.00068075,0.00068075
71,613.367,1.25019,0.75295,1.17243,0.9454,0.9718,0.98704,0.66755,1.15689,0.63531,1.14228,0.0006725,0.0006725,0.0006725
72,621.58,1.22113,0.72332,1.15133,0.97768,0.97475,0.98993,0.67425,1.17497,0.61282,1.1206,0.00066425,0.00066425,0.00066425
73,629.891,1.24553,0.76299,1.16882,0.95403,0.96641,0.98235,0.67728,1.15774,0.60349,1.14983,0.000656,0.000656,0.000656
74,638.256,1.20704,0.73134,1.15396,0.96892,0.98068,0.98693,0.67035,1.17617,0.62587,1.16236,0.00064775,0.00064775,0.00064775
75,646.599,1.22604,0.72085,1.16603,0.9743,0.97541,0.98753,0.67849,1.16838,0.62389,1.1769,0.0006395,0.0006395,0.0006395
76,655.09,1.22763,0.70633,1.17609,0.95791,0.98335,0.98777,0.66835,1.20987,0.61514,1.19619,0.00063125,0.00063125,0.00063125
