epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,1681.93,0.26112,0.33832,0.20304,0.81547,0.99402,1,0.99474,0.99143,0.99402,1,0.99474,0.98513,0.1974,0.28055,0.17327,0.76995,0.000250075,0.000250075,0.000250075
127,1695.28,0.26121,0.33038,0.20579,0.8335,0.99383,1,0.99476,0.99201,0.99383,1,0.99476,0.98584,0.1956,0.28244,0.17113,0.76868,0.000240644,0.000240644,0.000240644
128,1708.97,0.26267,0.34174,0.20813,0.82496,0.9936,1,0.99496,0.99242,0.9936,1,0.99496,0.98766,0.19294,0.27839,0.16845,0.76827,0.000231212,0.000231212,0.000231212
129,1722.71,0.26812,0.33272,0.20891,0.82403,0.99401,1,0.99498,0.99282,0.99401,1,0.99498,0.98794,0.19108,0.27688,0.16349,0.76844,0.000221781,0.000221781,0.000221781
130,1736.19,0.24682,0.32228,0.19397,0.82185,0.99439,1,0.99483,0.99228,0.99439,1,0.99483,0.98627,0.19184,0.28001,0.1667,0.7679,0.000212349,0.000212349,0.000212349
131,1749.81,0.25438,0.32544,0.19338,0.81649,0.9943,1,0.99476,0.99307,0.9943,1,0.99476,0.98515,0.19383,0.28168,0.17018,0.76793,0.000202918,0.000202918,0.000202918
132,1763.24,0.24848,0.31047,0.20263,0.82263,0.99423,1,0.99474,0.99252,0.99423,1,0.99474,0.98445,0.19217,0.27886,0.16948,0.76739,0.000193487,0.000193487,0.000193487
133,1777.01,0.25195,0.34668,0.19911,0.8281,0.99471,1,0.99478,0.99178,0.99471,1,0.99478,0.98509,0.19003,0.27616,0.16868,0.76698,0.000184055,0.000184055,0.000184055
134,1790.33,0.25758,0.34796,0.20114,0.83594,0.99558,1,0.99485,0.99336,0.99558,1,0.99485,0.98654,0.18626,0.27525,0.16471,0.76662,0.000174624,0.000174624,0.000174624
135,1803.77,0.26607,0.34664,0.20834,0.81462,0.99558,1,0.99489,0.99402,0.99558,1,0.99489,0.98519,0.18879,0.27506,0.16616,0.76776,0.000165192,0.000165192,0.000165192
136,1817.31,0.23874,0.33571,0.19179,0.82375,0.99558,1,0.99478,0.99319,0.99558,1,0.99478,0.98488,0.18449,0.27548,0.16501,0.76686,0.000155761,0.000155761,0.000155761
137,1830.72,0.25346,0.32538,0.19454,0.83074,0.99558,1,0.99481,0.99291,0.99558,1,0.99481,0.9857,0.18345,0.27359,0.16314,0.76614,0.00014633,0.00014633,0.00014633
138,1844.12,0.24386,0.32363,0.19112,0.82554,0.99558,1,0.99496,0.99382,0.99558,1,0.99496,0.98602,0.17995,0.27446,0.16264,0.76572,0.000136898,0.000136898,0.000136898
139,1857.76,0.25766,0.35536,0.20325,0.84292,0.99476,1,0.995,0.99385,0.99476,1,0.995,0.98576,0.18029,0.27527,0.16138,0.76608,0.000127467,0.000127467,0.000127467
140,1871.05,0.24272,0.31365,0.19869,0.81938,0.9947,1,0.995,0.99403,0.9947,1,0.995,0.98557,0.17834,0.27222,0.15946,0.76552,0.000118035,0.000118035,0.000118035
141,1914.28,0.20202,0.28497,0.17155,0.78547,0.9947,1,0.99489,0.99364,0.9947,1,0.99489,0.9858,0.17531,0.27076,0.1566,0.7652,0.000108604,0.000108604,0.000108604
142,1928.3,0.19602,0.27761,0.16708,0.77383,0.99369,1,0.99489,0.99422,0.99369,1,0.99489,0.98576,0.17779,0.27077,0.15923,0.76567,9.91726e-05,9.91726e-05,9.91726e-05
143,1943.79,0.19764,0.27566,0.17094,0.7753,0.99454,1,0.99489,0.99298,0.99454,1,0.99489,0.98491,0.17963,0.27379,0.15644,0.76556,8.97412e-05,8.97412e-05,8.97412e-05
144,1959.57,0.1965,0.2745,0.17071,0.78504,0.99454,1,0.99491,0.99275,0.99454,1,0.99491,0.98528,0.18202,0.2749,0.15948,0.76589,8.03098e-05,8.03098e-05,8.03098e-05
145,1974.66,0.19566,0.27278,0.16777,0.78042,0.99461,1,0.99491,0.9933,0.99461,1,0.99491,0.9854,0.18259,0.27344,0.15951,0.76537,7.08784e-05,7.08784e-05,7.08784e-05
146,1989.87,0.19661,0.27636,0.16151,0.78204,0.99462,1,0.99496,0.993,0.99462,1,0.99496,0.98635,0.18017,0.27173,0.16143,0.76395,6.1447e-05,6.1447e-05,6.1447e-05
147,2004.67,0.19386,0.28909,0.1594,0.7763,0.99464,1,0.99496,0.99275,0.99464,1,0.99496,0.98625,0.17761,0.2711,0.15975,0.76338,5.20156e-05,5.20156e-05,5.20156e-05
148,2019.54,0.18877,0.27488,0.15598,0.77297,0.99463,1,0.99496,0.99272,0.99463,1,0.99496,0.9865,0.17739,0.27065,0.15751,0.76342,4.25842e-05,4.25842e-05,4.25842e-05
149,2035.68,0.19077,0.2718,0.16001,0.78132,0.99462,1,0.99496,0.99332,0.99462,1,0.99496,0.98678,0.17595,0.27041,0.15726,0.76359,3.31528e-05,3.31528e-05,3.31528e-05
150,2050.88,0.19147,0.28044,0.16128,0.77875,0.99457,1,0.99496,0.99332,0.99457,1,0.99496,0.98677,0.17434,0.26999,0.15678,0.76323,2.37214e-05,2.37214e-05,2.37214e-05
