epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.593,1.0758,3.56023,1.2332,0.0085,0.90417,0.63728,0.45675,0.92542,3.63413,1.0647,0.0001625,0.0001625,0.0001625
2,203.404,1.09692,1.79178,1.21141,0.96251,0.6106,0.89152,0.64193,0.92506,3.2364,1.01878,0.000334159,0.000334159,0.000334159
3,303.226,0.98426,1.47425,1.08152,1,0.4069,0.95218,0.64191,1.02963,3.11902,1.05715,0.000502353,0.000502353,0.000502353
4,396.564,1.04041,1.43906,1.11546,0.95173,0.73958,0.9395,0.65501,1.05349,2.84938,1.06093,0.000667081,0.000667081,0.000667081
5,490.137,1.08318,1.3234,1.13668,0.98043,0.89603,0.98344,0.67857,1.03512,2.48153,1.05215,0.000828345,0.000828345,0.000828345
6,593.942,1.03441,1.33497,1.09795,0.9513,0.89583,0.96704,0.68388,1.01842,2.07455,1.05557,0.000986144,0.000986144,0.000986144
7,689.259,1.12536,1.27037,1.1419,0.96963,0.97971,0.97977,0.68342,1.00391,1.75066,1.08635,0.00114048,0.00114048,0.00114048
8,789.729,1.0938,1.2523,1.1334,0.97086,0.97146,0.98751,0.70121,1.02331,1.49632,1.05625,0.00116337,0.00116337,0.00116337
9,887.932,1.07875,1.18991,1.11919,0.91055,0.95798,0.97111,0.68531,1.04936,1.54552,1.10191,0.001151,0.001151,0.001151
10,982.543,1.04161,1.12945,1.11577,0.81783,0.79046,0.84338,0.57382,1.04235,1.7994,1.14244,0.00113863,0.00113863,0.00113863
11,1094.47,1.06301,1.0707,1.15996,0.92006,0.92483,0.9791,0.71001,0.98164,1.47226,1.07738,0.00112625,0.00112625,0.00112625
12,1193.84,0.997,0.98729,1.08703,0.98905,0.99084,0.99485,0.68216,1.0135,1.21156,1.06007,0.00111388,0.00111388,0.00111388
