epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1560.07,0.86882,0.70527,1.0464,0.98843,1,0.98708,0.77804,0.93441,0.77133,1.05938,0.000973861,0.000973861,0.000973861
44,1597,0.92653,0.65667,1.11844,0.91502,0.94,0.96125,0.68013,1.09106,0.94156,1.14647,0.000957358,0.000957358,0.000957358
45,1634.07,0.92411,0.6728,1.09085,0.92513,0.97,0.97245,0.68219,1.02342,0.91559,1.11349,0.000940855,0.000940855,0.000940855
46,1669.95,0.85603,0.66863,1.03171,0.98998,0.98795,0.98769,0.74048,0.95423,0.82712,1.07433,0.000924352,0.000924352,0.000924352
47,1704.36,0.79162,0.66647,1.04375,0.98702,0.99,0.98872,0.7656,0.94754,0.78698,1.0509,0.000907848,0.000907848,0.000907848
48,1740.25,0.89198,0.64818,1.0904,0.98951,1,0.99134,0.75486,1.04335,0.83796,1.0997,0.000891345,0.000891345,0.000891345
49,1775.67,0.89058,0.63401,1.09082,0.98909,1,0.99381,0.7613,1.04508,0.77578,1.09973,0.000874842,0.000874842,0.000874842
50,1813.01,0.9042,0.64885,1.0888,0.9966,1,0.995,0.77836,0.91735,0.66647,1.03479,0.000858338,0.000858338,0.000858338
51,1848.25,0.81778,0.62243,1.04822,0.99774,1,0.995,0.76511,0.93163,0.65269,1.0546,0.000841835,0.000841835,0.000841835
52,1883.68,0.76592,0.61588,1.02468,0.99953,1,0.995,0.76375,0.92854,0.62914,1.07114,0.000825332,0.000825332,0.000825332
53,1920.09,0.77107,0.61776,0.99159,0.99957,1,0.995,0.76614,0.90276,0.61629,1.05395,0.000808828,0.000808828,0.000808828
54,1955.84,0.85591,0.60511,1.05802,1,0.99897,0.995,0.75408,0.98059,0.69371,1.07378,0.000792325,0.000792325,0.000792325
55,1990.66,0.77737,0.56493,1.00802,0.98918,1,0.9949,0.76092,0.96866,0.6901,1.07781,0.000775822,0.000775822,0.000775822
56,2026.21,0.81208,0.55903,1.0347,0.98804,1,0.9948,0.75004,1.05039,0.70818,1.11289,0.000759318,0.000759318,0.000759318
57,2064.64,0.89337,0.58795,1.06351,0.98993,1,0.995,0.7608,1.00504,0.69044,1.08815,0.000742815,0.000742815,0.000742815
58,2100.75,0.85513,0.58531,1.07013,0.99823,1,0.995,0.80721,0.86606,0.62948,1.0075,0.000726312,0.000726312,0.000726312
59,2136.66,0.78414,0.56147,0.99731,1,0.99941,0.995,0.799,0.86466,0.6131,1.01577,0.000709809,0.000709809,0.000709809
60,2172.16,0.79829,0.5822,1.02221,0.99802,1,0.995,0.80285,0.87914,0.6308,1.00799,0.000693305,0.000693305,0.000693305
61,2207.7,0.85649,0.59094,1.02585,1,0.99726,0.995,0.79402,0.9195,0.6534,1.03056,0.000676802,0.000676802,0.000676802
62,2243.36,0.80382,0.54287,1.01077,0.98913,1,0.99411,0.73837,1.09093,0.71527,1.11928,0.000660299,0.000660299,0.000660299
63,2278.74,0.82249,0.56252,1.03484,0.98944,1,0.99163,0.72413,1.11251,0.74785,1.1317,0.000643795,0.000643795,0.000643795
64,2313.65,0.7374,0.54686,1.00867,0.99009,0.99922,0.99421,0.74014,1.09538,0.72067,1.10888,0.000627292,0.000627292,0.000627292
65,2347.95,0.72231,0.56655,0.98999,0.98886,1,0.9946,0.76181,1.07456,0.69789,1.09463,0.000610789,0.000610789,0.000610789
66,2382.96,0.75407,0.53458,1.01088,0.99768,1,0.995,0.82566,0.80753,0.60686,0.99104,0.000594286,0.000594286,0.000594286
67,2418.07,0.85107,0.58339,1.07251,0.99855,0.99,0.9949,0.8129,0.8176,0.59266,0.99231,0.000577782,0.000577782,0.000577782
